plate_assay,section,gray_value
P1_AB,1,0.0
P1_AB,2,5.0
P1_AB,3,7.0
P1_AB,4,10.0
P1_AB,5,15.0
P1_AB,6,20.0
P2_AB,1,0.0
P2_AB,2,5.0
P2_AB,3,7.0
P2_AB,4,10.0
P2_AB,5,15.0
P2_AB,6,20.0
P3_AB,1,0.0
P3_AB,2,5.0
P3_AB,3,7.0
P3_AB,4,10.0
P3_AB,5,15.0
P3_AB,6,20.0
P7_AB,1,0.0
P7_AB,2,5.0
P7_AB,3,7.0
P7_AB,4,10.0
P7_AB,5,15.0
P7_AB,6,20.0
P8_AB,1,0.0
P8_AB,2,5.0
P8_AB,3,7.0
P8_AB,4,10.0
P8_AB,5,15.0
P8_AB,6,20.0
P9_AB,1,0.0
P9_AB,2,5.0
P9_AB,3,7.0
P9_AB,4,10.0
P9_AB,5,15.0
P9_AB,6,20.0
P10_AB,1,0.0
P10_AB,2,5.0
P10_AB,3,7.0
P10_AB,4,10.0
P10_AB,5,15.0
P10_AB,6,20.0
P16_AB,1,0.0
P16_AB,2,5.0
P16_AB,3,7.0
P16_AB,4,10.0
P16_AB,5,15.0
P16_AB,6,20.0
P17_AB,1,0.0
P17_AB,2,5.0
P17_AB,3,7.0
P17_AB,4,10.0
P17_AB,5,15.0
P17_AB,6,20.0
